Id  |Desc                        |Token |X  |Y  |Yoff |Xoff |Xs |Ys |Act |Len |Top  |Wth |Hht |OnMap 
261 |Spikes For Tombs Floortrap  |A7    |1  |1  |-15  |5    |0  |0  |2   |0   |0    |0   |0   |0     
262 | Cathedral                  |s0    |3  |3  |0    |0    |0  |0  |1   |3   |77   |0   |0   |310   
263 | Jail                       |jb    |3  |3  |0    |0    |0  |0  |1   |3   |77   |0   |0   |310   
264 | Jail                       |jd    |3  |3  |0    |0    |0  |0  |1   |1   |264  |0   |0   |310   
265 | Jail                       |jf    |3  |3  |0    |0    |0  |0  |1   |2   |264  |0   |0   |310   
266 |Goo Pile                    |GP    |1  |1  |0    |0    |0  |0  |2   |18  |0    |0   |0   |0     
267 |Bank                        |b6    |1  |1  |0    |0    |0  |0  |15  |1   |0    |0   |0   |319   
268 |Wirt's Body                 |BP    |1  |1  |0    |0    |0  |0  |1   |18  |0    |0   |0   |0     
269 |Gold Placeholder            |1g    |0  |0  |0    |0    |0  |0  |15  |0   |0    |0   |0   |0     
270 |Guard Corpse 2              |GF    |3  |3  |0    |0    |0  |0  |2   |0   |0    |0   |0   |0     
271 |Dead Villager 1             |dg    |3  |3  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
272 |Dead Villager 2             |df    |3  |3  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
273 |Flame / No Damage           |f8    |1  |1  |0    |0    |0  |0  |15  |0   |0    |0   |0   |0     
274 |Tiny Pixel Shaped Thingie   |f9    |0  |0  |0    |0    |0  |0  |15  |0   |0    |0   |0   |0     
275 |Health Shrine               |ce    |3  |3  |0    |0    |0  |0  |1   |1   |275  |0   |0   |310   
276 |Mana Shrine                 |cg    |3  |3  |0    |0    |0  |0  |1   |2   |275  |0   |0   |310   
277 |Magic Shrine                |cg    |3  |3  |0    |0    |0  |0  |1   |3   |275  |0   |0   |310   
278 |Mana Shrine                 |de    |3  |3  |0    |0    |0  |0  |4   |2   |120  |0   |0   |310   
279 |Magic Shrine                |wj    |2  |2  |0    |0    |0  |0  |4   |3   |282  |0   |0   |310   
280 |Healthwell                  |wk    |3  |4  |0    |0    |0  |0  |4   |1   |282  |0   |0   |310   
281 |Manawell                    |wl    |3  |4  |0    |0    |0  |0  |4   |2   |282  |0   |0   |310   
282 |Shrine                      |ws    |3  |3  |0    |0    |0  |0  |4   |3   |282  |0   |0   |310   
283 |Brazier Celler              |bi    |1  |1  |0    |0    |0  |0  |1   |1   |0    |0   |0   |0     
284 |Anubis Coffin               |qc    |3  |5  |0    |0    |5  |5  |2   |0   |0    |0   |0   |0     
285 |Brazier General Sewers      |bm    |1  |1  |0    |0    |0  |0  |1   |1   |0    |0   |0   |0     
286 |Brazier Tall                |bo    |3  |3  |0    |0    |0  |0  |1   |1   |0    |0   |0   |0     
287 |Brazier Small               |bq    |2  |2  |0    |0    |0  |0  |1   |1   |0    |0   |0   |0     
288 |Waypoint Celler             |w7    |1  |1  |0    |0    |0  |0  |8   |0   |0    |0   |0   |0     
289 |Bed                         |ub    |5  |5  |0    |0    |0  |0  |1   |-50 |0    |100 |80  |0     
290 |IronGrateDoor L             |dv    |1  |3  |-5   |-8   |0  |0  |1   |-20 |-80  |40  |40  |0     
291 |IronGrateDoor R             |dn    |3  |1  |0    |8    |0  |0  |1   |-20 |-80  |40  |40  |0     
292 |Wooden Grate Door L         |dp    |1  |3  |-5   |-9   |0  |0  |1   |-20 |-80  |40  |40  |0     
293 |Wooden Grate Door R         |dt    |3  |1  |-3   |8    |0  |0  |1   |-20 |-80  |40  |40  |0     
294 |Wooden Door L               |dk    |1  |3  |-3   |-10  |0  |0  |1   |-20 |-80  |40  |40  |0     
295 |Wooden Door R               |dl    |3  |1  |0    |7    |0  |0  |1   |-20 |-80  |40  |40  |0     
296 |Wall Torch L                |qd    |1  |1  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
297 |Wall Torch R                |qe    |1  |1  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
298 |Arcane Portal               |ay    |5  |2  |0    |0    |0  |0  |2   |-30 |-80  |60  |80  |339   
299 |MagicShrine                 |hb    |3  |3  |0    |0    |0  |0  |4   |3   |301  |0   |0   |310   
300 |MagicShrine                 |hc    |3  |3  |0    |0    |0  |0  |4   |3   |301  |0   |0   |310   
301 |HealthWell                  |qf    |1  |1  |0    |0    |0  |0  |1   |1   |301  |0   |0   |310   
302 |ManaWell                    |qg    |1  |1  |0    |0    |0  |0  |1   |2   |301  |0   |0   |310   
303 |MagicShrine                 |hd    |3  |3  |0    |0    |0  |0  |4   |3   |301  |60  |80  |310   
304 |Telepad                     |7h    |1  |1  |0    |0    |0  |0  |2   |-30 |-80  |60  |80  |0     
305 |Telepad                     |aa    |1  |1  |0    |0    |0  |0  |2   |-30 |-80  |60  |80  |0     
306 |Telepad                     |aa    |1  |1  |0    |0    |0  |0  |2   |-30 |-80  |60  |80  |0     
307 |Arcane Thing                |7a    |1  |1  |0    |0    |0  |0  |2   |0   |0    |0   |0   |0     
308 |Arcane Thing                |7b    |1  |1  |0    |0    |0  |0  |2   |0   |0    |0   |0   |0     
309 |Arcane Thing                |7c    |1  |1  |0    |0    |0  |0  |2   |0   |0    |0   |0   |0     
310 |Arcane Thing                |7d    |1  |1  |0    |0    |0  |0  |2   |0   |0    |0   |0   |0     
311 |Arcane Thing                |7e    |1  |1  |0    |0    |0  |0  |2   |0   |0    |0   |0   |0     
312 |Arcane Thing                |7f    |1  |1  |0    |0    |0  |0  |2   |0   |0    |0   |0   |0     
313 |Arcane Thing                |7g    |1  |1  |0    |0    |0  |0  |2   |0   |0    |0   |0   |0     
314 |Harem Guard 1               |qh    |1  |1  |0    |0    |0  |0  |2   |0   |0    |0   |0   |0     
315 |Harem Guard 2               |qi    |1  |1  |0    |0    |0  |0  |2   |0   |0    |0   |0   |0     
316 |Harem Guard 3               |qj    |1  |1  |0    |0    |0  |0  |2   |0   |0    |0   |0   |0     
317 |Harem Guard 4               |qk    |1  |1  |0    |0    |0  |0  |2   |0   |0    |0   |0   |0     
318 |Harem Blocker               |ss    |1  |7  |0    |0    |0  |0  |2   |0   |0    |0   |0   |0     
319 |HealthWell                  |ax    |2  |2  |0    |0    |0  |0  |2   |1   |282  |0   |0   |310   
320 |HealthWell                  |au    |2  |2  |0    |0    |0  |0  |2   |1   |282  |0   |0   |310   
321 |Test Data                   |pp    |0  |0  |0    |0    |0  |0  |0   |0   |0    |0   |0   |0     
322 |TombWell                    |hu    |3  |3  |0    |0    |0  |0  |2   |750 |128  |1   |3   |309   
323 |SewerWaypoint               |qm    |1  |1  |0    |0    |0  |0  |2   |0   |0    |0   |0   |0     
324 |TravincalWaypoint           |ql    |1  |1  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
325 |MagicShrine                 |qn    |3  |3  |0    |0    |0  |0  |4   |3   |301  |0   |0   |310   
326 |DeadBody                    |qo    |3  |1  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
327 |Torch (sewer)               |V1    |1  |1  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
328 |Torch (kurast)              |V2    |1  |1  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
329 |Maf Chest Large L           |xb    |1  |3  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
330 |Maf Chest Large R           |xc    |1  |3  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
331 |Maf Chest Mid L             |xd    |1  |1  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
332 |Maf Chest Mid R             |xe    |1  |1  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
333 |Lair Chest Large L          |xf    |1  |3  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
334 |Lair Chestt L               |xg    |1  |1  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
335 |Lair Chest Mid R            |xh    |1  |1  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
336 |Lair Chest R                |xi    |1  |1  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
337 |Steeg Stone                 |y6    |2  |2  |0    |0    |0  |0  |15  |0   |0    |0   |0   |0     
338 |Guild Vault                 |y4    |3  |3  |0    |0    |0  |0  |15  |1   |0    |0   |0   |0     
339 |Trophy Case                 |y2    |2  |3  |0    |0    |0  |0  |15  |0   |0    |0   |0   |0     
340 |Message Board               |y3    |2  |3  |0    |0    |0  |0  |15  |0   |0    |0   |0   |0     
341 |Mephisto Bridge             |xj    |11 |5  |-20  |-45  |0  |0  |4   |18  |0    |0   |0   |0     
342 |Hellgate                    |1y    |1  |1  |0    |0    |0  |0  |12  |-40 |-80  |80  |80  |339   
343 |ManaWell                    |xl    |2  |2  |0    |0    |0  |0  |4   |1   |282  |0   |0   |310   
344 |HealthWell                  |xm    |2  |2  |0    |0    |0  |0  |4   |1   |282  |0   |0   |310   
345 |Hellfire1                   |e3    |0  |0  |0    |0    |0  |0  |8   |0   |0    |0   |0   |0     
346 |Hellfire2                   |e4    |0  |0  |0    |0    |0  |0  |8   |0   |0    |0   |0   |0     
347 |Hellfire3                   |e5    |0  |0  |0    |0    |0  |0  |8   |0   |0    |0   |0   |0     
348 |Helllava1                   |e6    |0  |0  |0    |0    |0  |0  |8   |0   |0    |0   |0   |0     
349 |Helllava2                   |e7    |0  |0  |0    |0    |0  |0  |8   |0   |0    |0   |0   |0     
350 |Helllava3                   |e8    |0  |0  |0    |0    |0  |0  |8   |0   |0    |0   |0   |0     
351 |Lightsource1                |ss    |0  |0  |0    |0    |0  |0  |8   |0   |0    |0   |0   |0     
352 |Lightsource1                |ss    |0  |0  |0    |0    |0  |0  |8   |0   |0    |0   |0   |0     
353 |Lightsource1                |ss    |0  |0  |0    |0    |0  |0  |8   |0   |0    |0   |0   |0     
354 |Horadric Cube Chest         |xk    |1  |1  |0    |0    |0  |0  |15  |18  |0    |0   |0   |318   
355 |Horadric Scroll Chest       |xk    |1  |1  |0    |0    |0  |0  |15  |18  |0    |0   |0   |318   
356 |Staff Of Kings Chest        |xk    |1  |1  |0    |0    |0  |0  |15  |18  |0    |0   |0   |318   
357 |Horazon's Journal           |TT    |1  |1  |0    |0    |0  |0  |1   |0   |0    |0   |0   |427   
358 |Hell Brazier                |E1    |1  |1  |0    |0    |0  |0  |8   |0   |0    |0   |0   |0     
359 |Hell Brazier                |E2    |1  |1  |0    |0    |0  |0  |8   |0   |0    |0   |0   |0     
360 |Rockpile                    |xn    |2  |2  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
361 |MagicShrine                 |qo    |3  |3  |0    |0    |0  |0  |4   |3   |301  |0   |0   |310   
362 |Basket                      |xp    |1  |1  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
363 |HugeSkeleton                |jw    |4  |4  |0    |0    |0  |0  |4   |18  |0    |0   |0   |0     
364 |Guy For Dungeon             |ea    |2  |1  |0    |0    |0  |0  |14  |18  |0    |0   |0   |0     
365 |Casket                      |vb    |5  |3  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
366 |Sewer Quest Stairs          |ve    |5  |5  |0    |0    |0  |0  |4   |0   |0    |0   |0   |223   
367 |Sewer Quest Lever           |vf    |3  |5  |0    |0    |0  |0  |4   |0   |0    |0   |0   |304   
368 |Start Position              |ss    |0  |0  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
369 |Trapped Soul                |ss    |0  |0  |0    |0    |0  |0  |8   |0   |0    |0   |0   |0     
370 |Torch                       |VG    |1  |1  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
371 |LargeChestR                 |L1    |1  |1  |0    |0    |0  |0  |15  |15  |0    |0   |0   |0     
372 |Bonepile                    |y1    |1  |1  |0    |0    |0  |0  |8   |18  |0    |0   |0   |0     
373 |Skeleton Spawn, Ne          |Qt    |1  |1  |0    |0    |0  |0  |8   |0   |0    |0   |0   |0     
374 |Fog Water Rfga              |ud    |1  |1  |0    |0    |0  |0  |12  |0   |0    |0   |0   |0     
375 |Not Used                    |xx    |1  |3  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
376 |Forge Hell                  |ux    |3  |3  |0    |-10  |0  |0  |8   |0   |0    |0   |0   |0     
377 |Portal To Guild             |PP    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
378 |Hratli Start                |ss    |0  |0  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
379 |Hratli End                  |ss    |0  |0  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
380 |Burning Guy                 |uy    |2  |2  |20   |-3   |0  |0  |8   |0   |0    |0   |0   |0     
381 |Burning Guy                 |15    |2  |2  |20   |-3   |0  |0  |8   |0   |0    |0   |0   |0     
382 |Natalya Start               |ss    |0  |0  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
383 |Guy Stuck In Hell           |18    |2  |2  |0    |0    |0  |0  |8   |0   |0    |0   |0   |0     
384 |Guy Stuck In Hell           |19    |2  |2  |0    |0    |0  |0  |8   |0   |0    |0   |0   |0     
385 |Cain Start Position         |ss    |0  |0  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
386 |Stairsr                     |sv    |10 |6  |0    |0    |0  |0  |15  |0   |0    |0   |0   |693   
387 |ArcanebigchestL             |y7    |1  |3  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
388 |ArcaneCasket                |y8    |1  |3  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
389 |ChestBig R                  |y9    |3  |1  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
390 |ChestSmall L                |ya    |1  |2  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
391 |ChestSmall R                |yc    |2  |1  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
392 |Diablo Seal1                |30    |5  |5  |0    |0    |0  |0  |8   |0   |0    |0   |0   |306   
393 |Diablo Seal2                |31    |5  |5  |0    |0    |0  |0  |8   |0   |0    |0   |0   |306   
394 |Diablo Seal3                |32    |5  |5  |0    |0    |0  |0  |8   |0   |0    |0   |0   |306   
395 |Diablo Seal4                |33    |5  |5  |0    |0    |0  |0  |8   |0   |0    |0   |0   |306   
396 |Diablo Seal5                |34    |5  |5  |0    |0    |0  |0  |8   |0   |0    |0   |0   |306   
397 |Sparklychest                |yf    |2  |2  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
398 |PandamoniaWaypoint          |yg    |1  |1  |0    |0    |0  |0  |8   |0   |0    |0   |0   |0     
399 |Fissure For Inner Hell      |fh    |0  |0  |0    |0    |0  |0  |8   |0   |0    |0   |0   |0     
400 |Brazier For Hell            |he    |2  |2  |0    |0    |0  |0  |8   |1   |0    |0   |0   |0     
401 |Smoke                       |35    |0  |0  |0    |0    |0  |0  |8   |0   |0    |0   |0   |0     
402 |VallyWaypoint               |yi    |1  |1  |0    |0    |0  |0  |8   |0   |0    |0   |0   |307   
403 |Hell Brazier                |9f    |2  |2  |0    |0    |0  |0  |8   |1   |0    |0   |0   |0     
404 |Compelling Orb              |55    |3  |3  |0    |0    |0  |0  |8   |1   |0    |0   |0   |305   
405 |Khalim Chest                |xk    |1  |1  |0    |0    |0  |0  |15  |18  |0    |0   |0   |318   
406 |Khalim Chest                |xk    |1  |1  |0    |0    |0  |0  |15  |18  |0    |0   |0   |318   
407 |Khalim Chest                |xk    |1  |1  |0    |0    |0  |0  |15  |18  |0    |0   |0   |318   
408 |Fortress Brazier #1         |98    |2  |2  |0    |0    |0  |0  |8   |1   |0    |0   |0   |0     
409 |Fortress Brazier #2         |99    |1  |1  |0    |0    |0  |0  |8   |1   |0    |0   |0   |0     
408 |Siege Control               |zq    |1  |1  |0    |0    |0  |0  |16  |18  |0    |0   |0   |0     
409 |PotOTorch(level 1)          |px    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
410 |FirePit(level 1)            |py    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
413 |Chest R                     |6q    |2  |2  |0    |0    |0  |0  |16  |20  |0    |0   |0   |0     
414 |Shrine                      |6r    |2  |2  |0    |0    |0  |0  |16  |3   |206  |0   |0   |310   
415 |Shrine                      |6s    |2  |2  |0    |0    |0  |0  |16  |3   |206  |0   |0   |310   
416 |HiddenStash                 |3w    |1  |3  |0    |0    |0  |0  |16  |20  |0    |0   |0   |0     
417 |WildernessFlag              |ym    |3  |3  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
418 |Barrel                      |yn    |1  |1  |0    |0    |0  |0  |16  |20  |0    |0   |0   |0     
419 |Barrel2                     |6t    |1  |1  |0    |0    |2  |2  |16  |0   |0    |0   |0   |0     
420 |Wooden Chest L              |yp    |1  |3  |0    |0    |0  |0  |16  |20  |0    |0   |0   |0     
421 |Shrine 3                    |yq    |2  |2  |0    |0    |0  |0  |16  |3   |206  |0   |0   |310   
422 |Mana Shrine                 |yr    |3  |3  |0    |0    |0  |0  |16  |2   |172  |0   |0   |310   
423 |Health Shrine               |ys    |3  |3  |0    |0    |0  |0  |16  |1   |282  |0   |0   |310   
424 |BurialChest L               |yt    |2  |3  |0    |0    |0  |0  |16  |20  |0    |0   |0   |0     
425 |BurialChest R               |ys    |3  |2  |0    |0    |0  |0  |16  |20  |0    |0   |0   |0     
426 |Well                        |yv    |4  |4  |0    |0    |0  |0  |16  |0   |0    |0   |0   |309   
427 |Shrine2                     |yw    |3  |3  |0    |0    |0  |0  |16  |3   |206  |0   |0   |310   
428 |Shrine2                     |yx    |2  |2  |0    |0    |0  |0  |16  |3   |206  |0   |0   |310   
429 |Waypoint                    |yy    |5  |5  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
430 |Chest L                     |yz    |1  |2  |0    |0    |0  |0  |16  |20  |0    |0   |0   |0     
431 |Woodchest R                 |6a    |2  |1  |0    |0    |0  |0  |16  |20  |0    |0   |0   |0     
432 |Chest SL                    |6b    |1  |2  |0    |0    |0  |0  |16  |20  |0    |0   |0   |0     
433 |Chest SR                    |6c    |2  |1  |0    |0    |0  |0  |16  |20  |0    |0   |0   |0     
434 |Torch 1                     |6d    |2  |2  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
435 |Camp Fire                   |2w    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
436 |Town Torch                  |2x    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
437 |Torch 2                     |6e    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
438 |Burning Bodies              |6f    |2  |2  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
439 |Burning Pit                 |6g    |3  |4  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
440 |Tribal Flag                 |6h    |3  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
441 |Town Flag                   |2y    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
442 |Chandeleir                  |2z    |1  |1  |-130 |0    |0  |0  |16  |0   |0    |0   |0   |0     
443 |Jar 1                       |6i    |1  |1  |0    |0    |1  |1  |16  |0   |0    |0   |0   |0     
444 |Jar 2                       |6j    |1  |1  |0    |0    |1  |1  |16  |0   |0    |0   |0   |0     
445 |Jar 3                       |6k    |1  |1  |0    |0    |1  |1  |16  |0   |0    |0   |0   |0     
446 |SwingingHeads               |6L    |5  |2  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
447 |Pole                        |6m    |4  |4  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
448 |Skill W/ Rockpile           |6n    |5  |3  |0    |0    |0  |0  |16  |20  |0    |0   |0   |0     
449 |Town Main Gate              |2v    |1  |7  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
450 |Skull And Rocks             |6o    |5  |5  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
451 |Hellgate                    |6p    |3  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
452 |Banner 1                    |ao    |1  |1  |0    |0    |0  |0  |16  |1   |0    |0   |0   |0     
453 |Banner 2                    |ap    |1  |1  |0    |0    |0  |0  |16  |1   |0    |0   |0   |0     
454 |Exploding Chest             |6t    |1  |3  |0    |0    |2  |2  |16  |0   |0    |0   |0   |0     
455 |Special Chest               |6u    |2  |1  |0    |0    |0  |0  |16  |18  |0    |0   |0   |0     
456 |DeathPole R                 |6v    |3  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
457 |DeathPole L                 |6w    |3  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
458 |Temple Altar                |6x    |2  |3  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
459 |Drehya In Town              |ss    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
460 |Drehya Outside Town         |ss    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
461 |Nihlathak In Town           |ss    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
462 |Nihlathak Outside Town      |ss    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
463 |Hidden Stash                |6y    |1  |1  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
464 |Health Shrine               |8a    |2  |2  |0    |0    |0  |0  |16  |1   |282  |0   |0   |310   
465 |Mana Shrine                 |8b    |2  |2  |0    |0    |0  |0  |16  |2   |172  |0   |0   |310   
466 |Evil Urn                    |8c    |1  |1  |0    |0    |0  |0  |16  |18  |0    |0   |0   |0     
467 |IcecaveJar1                 |8d    |1  |1  |0    |0    |1  |1  |16  |0   |0    |0   |0   |0     
468 |IcecaveJar2                 |8e    |1  |1  |0    |0    |1  |1  |16  |0   |0    |0   |0   |0     
469 |IcecaveJar3                 |8f    |1  |1  |0    |0    |1  |1  |16  |0   |0    |0   |0   |0     
470 |IcecaveJar4                 |8g    |1  |1  |0    |0    |1  |1  |16  |0   |0    |0   |0   |0     
471 |IcecaveJar5                 |8h    |1  |1  |0    |0    |1  |1  |16  |0   |0    |0   |0   |0     
472 |IcecaveShrine2              |8i    |2  |2  |0    |0    |0  |0  |16  |3   |206  |0   |0   |310   
473 |Caged Fellow                |60    |3  |3  |0    |0    |0  |0  |16  |0   |0    |0   |0   |310   
474 |Statue 3                    |60    |3  |3  |-5   |-5   |0  |0  |16  |0   |0    |0   |0   |0     
475 |Statue 1                    |61    |3  |3  |-5   |-5   |0  |0  |16  |0   |0    |0   |0   |0     
476 |Statue 2                    |62    |3  |3  |-10  |-8   |0  |0  |16  |0   |0    |0   |0   |0     
477 |Dead Barbarian              |8j    |2  |3  |0    |0    |0  |0  |16  |18  |0    |0   |0   |0     
478 |Client Smoke                |oz    |0  |0  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
479 |IcecaveShrine2              |8k    |2  |2  |0    |0    |0  |0  |16  |3   |206  |0   |0   |310   
480 |IcecaveTorch1               |8L    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
481 |IcecaveTorch2               |8m    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
482 |Expansion Tiki Torch        |2p    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
483 |ManaShrine                  |8n    |2  |2  |0    |0    |0  |0  |16  |2   |172  |0   |0   |310   
484 |BaalHealthShrine            |8o    |2  |2  |0    |0    |0  |0  |16  |2   |172  |0   |0   |310   
485 |Baal's Lair                 |8p    |5  |3  |0    |0    |0  |0  |16  |18  |0    |0   |0   |0     
486 |Baal's Lair                 |8q    |5  |3  |0    |0    |0  |0  |16  |18  |0    |0   |0   |0     
487 |Baal's Lair                 |8r    |5  |3  |0    |0    |0  |0  |16  |18  |0    |0   |0   |0     
488 |BaalMagicShrine             |8s    |2  |2  |0    |0    |0  |0  |16  |3   |206  |0   |0   |310   
489 |Torch1                      |8t    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
490 |Torch2                      |8u    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
491 |ManaShrine                  |8v    |3  |3  |0    |0    |0  |0  |16  |2   |172  |0   |0   |310   
492 |HealthShrine                |8w    |3  |3  |0    |0    |0  |0  |16  |1   |282  |0   |0   |310   
493 |Well                        |8x    |4  |4  |0    |0    |0  |0  |16  |0   |0    |0   |0   |309   
494 |BaalWaypoint                |8y    |5  |5  |0    |0    |0  |0  |16  |0   |0    |0   |0   |307   
495 |Shrine3                     |8z    |2  |2  |0    |0    |0  |0  |16  |3   |206  |0   |0   |310   
496 |WildernessWaypoint          |5a    |5  |5  |0    |0    |0  |0  |16  |0   |0    |0   |0   |307   
497 |Shrine3                     |5b    |3  |3  |0    |0    |0  |0  |16  |3   |206  |0   |0   |310   
498 |BaalWell                    |5c    |3  |3  |0    |0    |0  |0  |16  |0   |0    |0   |0   |309   
499 |BaalMagicShrine2            |5d    |2  |4  |0    |0    |0  |0  |16  |3   |206  |0   |0   |310   
500 |Object1                     |5e    |2  |2  |0    |0    |0  |0  |16  |18  |0    |0   |0   |0     
501 |Woodchest L                 |5f    |1  |3  |0    |0    |0  |0  |16  |20  |0    |0   |0   |0     
502 |Woodchest R                 |5g    |3  |1  |0    |0    |0  |0  |16  |20  |0    |0   |0   |0     
503 |BaalMagicShrine3            |5h    |3  |3  |0    |0    |0  |0  |16  |3   |206  |0   |0   |310   
504 |WoodChest L                 |5f    |2  |3  |0    |0    |0  |0  |16  |20  |0    |0   |0   |0     
505 |WoodChest 2                 |5f    |3  |2  |0    |0    |0  |0  |16  |20  |0    |0   |0   |0     
506 |SwingingHeads               |5k    |5  |2  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
507 |Debris                      |5l    |4  |4  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
508 |Pen Door                    |2q    |1  |7  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
509 |TempleMagicShrine           |5h    |4  |3  |0    |0    |0  |0  |16  |3   |206  |0   |0   |310   
510 |Pole                        |5k    |5  |5  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
511 |IcecaveWaypoint             |5a    |5  |5  |0    |0    |0  |0  |16  |0   |0    |0   |0   |307   
512 |TempleMagicShrine2          |5t    |2  |2  |0    |0    |0  |0  |16  |3   |206  |0   |0   |310   
513 |TempleWell                  |5q    |4  |4  |0    |0    |0  |0  |16  |0   |0    |0   |0   |309   
514 |Torch1                      |5r    |1  |3  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
515 |Torch2                      |5s    |1  |1  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
516 |Object1                     |5u    |1  |1  |0    |0    |0  |0  |16  |18  |0    |0   |0   |0     
517 |Object2                     |5v    |2  |2  |0    |0    |0  |0  |16  |18  |0    |0   |0   |0     
518 |BaalMrBox                   |5w    |3  |1  |0    |0    |1  |1  |16  |0   |0    |0   |0   |0     
519 |IcecaveWell                 |5x    |3  |3  |0    |0    |0  |0  |16  |0   |0    |0   |0   |309   
520 |TempleMagicShrine3          |5y    |2  |2  |0    |0    |0  |0  |16  |3   |206  |0   |0   |310   
521 |TempleHealthShrine          |5z    |3  |3  |0    |0    |0  |0  |16  |1   |282  |0   |0   |310   
522 |TempleManaShrine            |3a    |3  |3  |0    |0    |0  |0  |16  |2   |172  |0   |0   |310   
523 | Blacksmith                 |ss    |0  |0  |0    |0    |0  |0  |16  |0   |0    |0   |0   |0     
524 |Baal's Lair Tomb1           |3b    |3  |5  |0    |0    |0  |0  |16  |18  |0    |0   |0   |0     
525 |Baal's Lair Tomb2           |3c    |3  |5  |0    |0    |0  |0  |16  |18  |0    |0   |0   |0     
526 |Baal's Lair Tomb3           |3d    |3  |5  |0    |0    |0  |0  |16  |18  |0    |0   |0   |0     
